timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1605698143804,200,-2048,-4.5E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698143832,200,-2048,-4.5E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698143842,200,1791,3.935302734375E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698143852,200,-2048,-4.5E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698143872,200,-1020,-2.2412109375E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698143890,200,-2048,-4.5E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698143900,200,-2048,-4.5E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698143939,200,-29,-6.3720703125E-6,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698143956,200,-2048,-4.5E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144006,200,601,1.3205566406249998E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144023,200,-1962,-4.31103515625E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144073,200,-1605,-3.526611328125E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144090,200,1434,3.1508789062500005E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144141,200,1791,3.935302734375E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144158,200,-2048,-4.5E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144176,200,-2139,-4.699951171875E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144186,200,-833,-1.830322265625E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144198,200,436,9.580078125E-5,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144208,200,-1347,-2.959716796875E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144218,200,-1115,-2.449951171875E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144229,200,516,1.1337890625000001E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144239,200,-806,-1.7709960937499998E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144249,200,1549,3.4035644531250003E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144259,200,-2066,-4.5395507812500004E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144274,200,235,5.16357421875E-5,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144289,200,1791,3.935302734375E-4,0,0,87,2392494,133719,29372,16759585,16776245,38605,48970,57361,Tag0,unknown
1605698144311,200,-2155,-4.735107421875E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144329,200,-2070,-4.54833984375E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144348,200,-1959,-4.3044433593750003E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144381,200,634,1.39306640625E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144391,200,861,1.8918457031249998E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144415,200,-1297,-2.849853515625E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144428,200,-2129,-4.6779785156250003E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144438,200,1791,3.935302734375E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144453,200,1791,3.935302734375E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144487,200,-1669,-3.6672363281250005E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144497,200,-1957,-4.3000488281249997E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144507,200,-1177,-2.586181640625E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144525,200,-2147,-4.717529296875E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144542,200,980,2.1533203125E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144558,200,1791,3.935302734375E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144575,200,1791,3.935302734375E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144598,200,684,1.5029296875E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144608,200,741,1.6281738281249998E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144631,200,-2048,-4.5E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144642,200,-1341,-2.946533203125E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144671,200,-1035,-2.274169921875E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144712,200,837,1.8391113281250002E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144723,200,441,9.689941406250001E-5,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144742,200,865,1.900634765625E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
1605698144759,200,-1649,-3.6232910156250005E-4,0,0,87,545978,16771110,16764814,5658,29709,16749259,28885,25126,Tag0,unknown
