timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1610372321745,200,9,1.9775390625E-6,0,0,0,1799258,16772707,29097,14446,16983,25541,14710,11289,Tag0,unknown
1610372321756,200,-281,-6.17431640625E-5,0,0,0,1799258,16772707,29097,14446,16983,25541,14710,11289,Tag0,unknown
1610372321812,200,-124,-2.724609375E-5,0,0,0,1799258,16772707,29097,14446,16983,25541,14710,11289,Tag0,unknown
1610372321823,200,18,3.955078125E-6,0,0,0,1799258,16772707,29097,14446,16983,25541,14710,11289,Tag0,unknown
1610372321880,200,281,6.17431640625E-5,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372321890,200,57,1.2524414062500001E-5,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372321947,200,-103,-2.26318359375E-5,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372321957,200,-125,-2.74658203125E-5,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372321994,200,353,7.75634765625E-5,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322008,200,347,7.62451171875E-5,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322018,200,-409,-8.986816406250001E-5,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322028,200,-1241,-2.726806640625E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322070,200,-738,-1.62158203125E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322091,200,-554,-1.2172851562500001E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322135,200,-1293,-2.841064453125E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322187,200,-332,-7.294921875E-5,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322207,200,1041,2.287353515625E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322250,200,1281,2.814697265625E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322260,200,1019,2.239013671875E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322307,200,1297,2.849853515625E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322324,200,1379,3.030029296875E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
1610372322367,200,787,1.729248046875E-4,0,0,0,320507,16762848,27499,1948,7247,7707,8032,971,Tag0,unknown
