timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1605939989326,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989347,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989361,200,-1940,-4.2626953125E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989371,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989387,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989397,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989423,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989442,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989452,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989464,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989492,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989509,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989519,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989531,200,-1413,-3.104736328125E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989542,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989564,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989575,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989585,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989603,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989615,200,-1623,-3.566162109375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989637,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989647,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989657,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989676,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989692,200,-2172,-4.7724609374999997E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989715,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989727,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989749,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989759,200,-461,-1.0129394531250001E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989782,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989796,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989806,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989827,200,1489,3.271728515625E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989843,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989861,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989878,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989888,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989899,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989931,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989943,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989953,200,761,1.672119140625E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989970,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939989980,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939990003,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939990013,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939990042,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939990061,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939990079,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939990089,200,1791,3.935302734375E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939990099,200,-2048,-4.5E-4,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939990115,200,-12,-2.63671875E-6,0,0,0,951784,217285,24172,16745775,16752912,349442,278470,72567,Tag0,unknown
1605939990133,200,1791,3.935302734375E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990154,200,1791,3.935302734375E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990164,200,1791,3.935302734375E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990188,200,-2048,-4.5E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990198,200,-2048,-4.5E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990220,200,-2048,-4.5E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990230,200,1791,3.935302734375E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990253,200,1791,3.935302734375E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990263,200,-2048,-4.5E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990287,200,-2048,-4.5E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990297,200,1791,3.935302734375E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990324,200,-2048,-4.5E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990334,200,-2048,-4.5E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990360,200,865,1.900634765625E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990378,200,-2048,-4.5E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
1605939990397,200,-2048,-4.5E-4,0,0,0,28801,95415,23827,9873,11393,260538,78644,32427,Tag0,unknown
