,timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
0,1611472553872,26,-221,-4.85595703125e-05,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
1,1611472553893,26,-111,-2.43896484375e-05,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
2,1611472553906,26,-585,-0.0001285400390625,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
3,1611472553926,26,-159,-3.49365234375e-05,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
4,1611472553939,26,198,4.350585937500001e-05,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
5,1611472553960,26,44,9.66796875e-06,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
6,1611472553972,26,-228,-5.009765625000001e-05,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
7,1611472553994,26,-398,-8.745117187499999e-05,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
8,1611472554006,26,-169,-3.71337890625e-05,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
9,1611472554058,26,380,8.349609375e-05,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
10,1611472554073,26,-569,-0.0001250244140625,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
11,1611472554115,26,529,0.0001162353515625,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
12,1611472554125,26,209,4.59228515625e-05,13,60,116,421706,16752950,44846,26315,16757140,16752108,17970,9060,Tag0,unknown
13,1611472554140,26,-35,-7.6904296875e-06,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
14,1611472554180,26,-531,-0.0001166748046875,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
15,1611472554191,26,212,4.658203125000001e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
16,1611472554232,26,-589,-0.0001294189453125,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
17,1611472554242,26,-393,-8.63525390625e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
18,1611472554252,26,455,9.99755859375e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
19,1611472554262,26,-345,-7.58056640625e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
20,1611472554277,26,-358,-7.8662109375e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
21,1611472554292,26,197,4.32861328125e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
22,1611472554302,26,208,4.5703125e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
23,1611472554316,26,-182,-3.9990234375e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
24,1611472554326,26,304,6.6796875e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
25,1611472554349,26,102,2.2412109375e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
26,1611472554359,26,759,0.0001667724609375,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
27,1611472554369,26,498,0.000109423828125,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
28,1611472554382,26,98,2.1533203125e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
29,1611472554396,26,119,2.6147460937500007e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
30,1611472554409,26,-265,-5.82275390625e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
31,1611472554424,26,772,0.00016962890625000002,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
32,1611472554441,26,-84,-1.8457031250000007e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
33,1611472554462,26,-765,-0.0001680908203125,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
34,1611472554476,26,302,6.6357421875e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
35,1611472554486,26,-138,-3.0322265625e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
36,1611472554497,26,326,7.163085937500001e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
37,1611472554511,26,-96,-2.109375e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
38,1611472554521,26,547,0.0001201904296875,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
39,1611472554531,26,39,8.5693359375e-06,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
40,1611472554544,26,-597,-0.00013117675781250005,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
41,1611472554560,26,-419,-9.20654296875e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
42,1611472554570,26,-727,-0.00015974121093750005,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
43,1611472554580,26,290,6.3720703125e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
44,1611472554591,26,-64,-1.40625e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
45,1611472554609,26,124,2.724609375e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
46,1611472554625,26,-234,-5.1416015625e-05,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
47,1611472554646,26,-15,-3.2958984375e-06,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
48,1611472554663,26,-474,-0.000104150390625,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
49,1611472554673,26,834,0.000183251953125,13,60,116,832642,16755276,65808,12105,22858,16749130,23896,3751,Tag0,unknown
