,timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
0,1611470594564,0,-281,-6.17431640625e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
1,1611470594576,0,-235,-5.16357421875e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
2,1611470594597,0,-100,-2.197265625e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
3,1611470594609,0,-61,-1.34033203125e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
4,1611470594639,0,2,4.39453125e-07,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
5,1611470594673,0,115,2.52685546875e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
6,1611470594693,0,-132,-2.900390625e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
7,1611470594717,0,-73,-1.6040039062500002e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
8,1611470594727,0,3,6.591796875e-07,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
9,1611470594743,0,-128,-2.8125e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
10,1611470594760,0,-32,-7.03125e-06,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
11,1611470594776,0,105,2.30712890625e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
12,1611470594793,0,8,1.7578125e-06,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
13,1611470594810,0,75,1.64794921875e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
14,1611470594836,0,87,1.91162109375e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
15,1611470594870,0,-100,-2.197265625e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
16,1611470594909,0,100,2.197265625e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
17,1611470594945,0,-127,-2.79052734375e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
18,1611470594960,0,-101,-2.21923828125e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
19,1611470594981,0,-73,-1.6040039062500002e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
20,1611470594994,0,69,1.51611328125e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
21,1611470595015,0,105,2.30712890625e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
22,1611470595027,0,-22,-4.833984375e-06,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
23,1611470595051,0,-156,-3.427734375e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
24,1611470595061,0,30,6.591796875e-06,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
25,1611470595106,0,292,6.416015625000001e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
26,1611470595127,0,56,1.23046875e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
27,1611470595167,0,8,1.7578125e-06,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
28,1611470595177,0,-219,-4.81201171875e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
29,1611470595227,0,59,1.29638671875e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
30,1611470595244,0,-261,-5.73486328125e-05,35,78,40,1050764,16776617,16762189,16753821,28039,18103,10616,9300,Tag0,unknown
