,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaMid,target
0,0.09649362690643455,0.10673113929028201,0.08920476018101028,0.1297189717655893,0.16594586487767854,0.1984389987215402,0.10764181956398888,0.10582481869347622,0
1,0.022036391006668755,0.024554290568986937,0.025769056074592223,0.02583725598034275,0.02681265626951539,0.03859657645937633,0.1532486187054272,0.6831451549350905,0
2,0.17228526454888196,0.167948984923079,0.16616746304904112,0.11813276534868067,0.10432026933809109,0.09911716283982804,0.0674404415109728,0.10458764844142532,0
3,0.16368473170712508,0.14183141300886984,0.15932401224963771,0.1597616064816516,0.12264674553853384,0.09090512640627625,0.0650700716771542,0.09677629293075152,0
4,0.1592203275381154,0.13815153450176898,0.1332276936484447,0.16281768148413048,0.10018643648966441,0.07869106555083322,0.07978506925648778,0.14792019153055502,0
5,0.11314865855073439,0.14067983536486153,0.1270534711283012,0.12358305359393751,0.1346372715231013,0.0917404125055719,0.07874771263059377,0.19040958470289837,0
6,0.11206865486006348,0.11961903507482832,0.0884930760262112,0.10069792434066736,0.08812302653367968,0.08353431792502777,0.12461458158425437,0.28284938365526785,0
7,0.03696517224551015,0.052198747868027334,0.05520263654255273,0.0467225525850222,0.05889273645456227,0.056044578350894485,0.12149342022576613,0.5724801557276648,0
8,0.02836147945327589,0.025968705939286085,0.020603860498220685,0.020563572386850873,0.03056430578017976,0.05035833129573077,0.14015927549167156,0.6834204691547843,0
9,0.08597667645345101,0.10410038672856864,0.08452016133194509,0.12394838095962676,0.1804129430709673,0.16360528156681944,0.12158972377194528,0.13584644611667637,0
10,0.11480392377692837,0.0750664262754436,0.07026191755674392,0.08997583495551974,0.09902541672626952,0.08426648099730179,0.1611525830555116,0.30544741665628156,0
11,0.09274408424911466,0.08222856033466558,0.08622070600402224,0.10880243304242447,0.13496651764573717,0.16481146010821202,0.11077989038902146,0.21944634822680245,0
12,0.05839993984197315,0.07245331407401148,0.06684604571284938,0.060899211924221285,0.07683179784618635,0.11968405453083396,0.2000354399535742,0.34485019611635026,0
13,0.05307322527443916,0.05512326505728623,0.046953130929786924,0.06901833001720775,0.07115365151231794,0.105470838174767,0.1699429572683554,0.4292646017658396,0
14,0.02898768205680968,0.03290162798047549,0.04312900152795777,0.04112648754853009,0.04146546241746474,0.06258151823467581,0.17622141145919787,0.5735868087748887,0
