,timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
0,1611476859029,200,1791,0.0003935302734375,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
1,1611476859045,200,-2041,-0.0004484619140625001,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
2,1611476859062,200,-2134,-0.000468896484375,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
3,1611476859113,200,1670,0.000366943359375,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
4,1611476859128,200,-2048,-0.00045,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
5,1611476859138,200,-2048,-0.00045,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
6,1611476859173,200,-2048,-0.00045,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
7,1611476859194,200,-2048,-0.00045,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
8,1611476859204,200,-46,-1.0107421875e-05,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
9,1611476859233,200,1791,0.0003935302734375,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
10,1611476859244,200,1791,0.0003935302734375,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
11,1611476859254,200,-2048,-0.00045,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
12,1611476859271,200,1791,0.0003935302734375,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
13,1611476859281,200,-2048,-0.00045,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
14,1611476859295,200,-2048,-0.00045,0,0,0,468743,242716,16748090,26999,16764741,551686,171478,84679,Tag0,unknown
15,1611476859317,200,-408,-8.964843749999999e-05,0,0,0,566258,86197,29718,26103,17223,16760157,16745330,19269,Tag0,unknown
16,1611476859329,200,-2048,-0.00045,0,0,0,566258,86197,29718,26103,17223,16760157,16745330,19269,Tag0,unknown
17,1611476859339,200,-2048,-0.00045,0,0,0,566258,86197,29718,26103,17223,16760157,16745330,19269,Tag0,unknown
18,1611476859353,200,1791,0.0003935302734375,0,0,0,566258,86197,29718,26103,17223,16760157,16745330,19269,Tag0,unknown
19,1611476859363,200,-219,-4.81201171875e-05,0,0,0,566258,86197,29718,26103,17223,16760157,16745330,19269,Tag0,unknown
