,timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
0,1611474888975,200,-168,-3.6914062500000014e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
1,1611474888997,200,35,7.6904296875e-06,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
2,1611474889009,200,-12,-2.63671875e-06,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
3,1611474889042,200,-79,-1.7358398437500006e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
4,1611474889059,200,-101,-2.21923828125e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
5,1611474889077,200,-305,-6.70166015625e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
6,1611474889092,200,-37,-8.1298828125e-06,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
7,1611474889115,200,-76,-1.669921875e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
8,1611474889125,200,-306,-6.723632812500001e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
9,1611474889149,200,57,1.25244140625e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
10,1611474889159,200,324,7.119140625e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
11,1611474889186,200,-353,-7.75634765625e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
12,1611474889234,200,321,7.053222656250001e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
13,1611474889244,200,-310,-6.8115234375e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
14,1611474889259,200,-117,-2.57080078125e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
15,1611474889295,200,-315,-6.92138671875e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
16,1611474889309,200,-219,-4.81201171875e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
17,1611474889354,200,-203,-4.4604492187500014e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
18,1611474889376,200,-73,-1.6040039062500002e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
19,1611474889415,200,-183,-4.02099609375e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
20,1611474889426,200,-167,-3.66943359375e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
21,1611474889475,200,-259,-5.69091796875e-05,0,0,69,150428,5650,2324,389,679,1839,367,281,Tag0,unknown
