timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1605700280830,200,513,1.127197265625E-4,0,0,62,2056694,1747492,307487,915586,365819,416066,256998,365758,Tag0,unknown
1605700280850,200,-482,-1.05908203125E-4,0,0,62,2056694,1747492,307487,915586,365819,416066,256998,365758,Tag0,unknown
1605700280860,200,-1883,-4.137451171875E-4,0,0,62,2056694,1747492,307487,915586,365819,416066,256998,365758,Tag0,unknown
1605700280889,200,-1373,-3.016845703125E-4,0,0,62,2056694,1747492,307487,915586,365819,416066,256998,365758,Tag0,unknown
1605700280907,200,92,2.021484375E-5,0,0,62,2056694,1747492,307487,915586,365819,416066,256998,365758,Tag0,unknown
1605700280929,200,1449,3.183837890625E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700280941,200,-1555,-3.416748046875E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700280963,200,-2048,-4.5E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700280974,200,-2048,-4.5E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700281001,200,-2048,-4.5E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700281011,200,1791,3.935302734375E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700281036,200,1791,3.935302734375E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700281046,200,1791,3.935302734375E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700281058,200,919,2.0192871093750001E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700281076,200,-1577,-3.465087890625E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
1605700281109,200,1791,3.935302734375E-4,0,0,62,832763,201769,32949,150756,16760263,71371,92357,36793,Tag0,unknown
