,timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
0,1611472618065,26,-107,-2.35107421875e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
1,1611472618076,26,-179,-3.93310546875e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
2,1611472618122,26,-741,-0.00016281738281249998,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
3,1611472618143,26,-1087,-0.0002388427734375,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
4,1611472618180,26,615,0.0001351318359375,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
5,1611472618193,26,16,3.515625e-06,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
6,1611472618217,26,356,7.822265625e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
7,1611472618227,26,41,9.0087890625e-06,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
8,1611472618251,26,568,0.0001248046875,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
9,1611472618261,26,274,6.0205078125e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
10,1611472618291,26,840,0.0001845703125,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
11,1611472618325,26,-67,-1.4721679687500003e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
12,1611472618343,26,298,6.5478515625e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
13,1611472618362,26,-19,-4.1748046875e-06,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
14,1611472618377,26,-429,-9.42626953125e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
15,1611472618396,26,-826,-0.000181494140625,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
16,1611472618410,26,-394,-8.6572265625e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
17,1611472618439,26,-147,-3.22998046875e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
18,1611472618472,26,-355,-7.80029296875e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
19,1611472618509,26,-627,-0.0001377685546875,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
20,1611472618542,26,-1354,-0.00029750976562500003,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
21,1611472618560,26,-147,-3.22998046875e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
22,1611472618585,26,-869,-0.0001909423828125,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
23,1611472618595,26,-50,-1.0986328125e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
24,1611472618619,26,146,3.2080078125000004e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
25,1611472618629,26,365,8.02001953125e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
26,1611472618660,26,154,3.3837890625e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
27,1611472618677,26,643,0.0001412841796875,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
28,1611472618695,26,-861,-0.0001891845703125,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
29,1611472618711,26,-325,-7.14111328125e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
30,1611472618729,26,-694,-0.000152490234375,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
31,1611472618744,26,-379,-8.32763671875e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
32,1611472618762,26,220,4.833984375e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
33,1611472618777,26,-27,-5.932617187500001e-06,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
34,1611472618800,26,1058,0.000232470703125,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
35,1611472618811,26,449,9.86572265625e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
36,1611472618836,26,268,5.888671875000001e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
37,1611472618846,26,-371,-8.151855468750001e-05,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
38,1611472618875,26,553,0.0001215087890625,37,100,116,215177,23703,16753791,26959,21634,24046,12299,2300,Tag0,unknown
39,1611472618895,26,-450,-9.8876953125e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
40,1611472618915,26,-2157,-0.0004739501953125,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
41,1611472618928,26,-2115,-0.0004647216796875,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
42,1611472618945,26,-2115,-0.0004647216796875,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
43,1611472618966,26,-1044,-0.00022939453125,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
44,1611472618978,26,-1201,-0.00026389160156250005,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
45,1611472619000,26,-1105,-0.0002427978515625,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
46,1611472619011,26,-1117,-0.0002454345703125,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
47,1611472619036,26,-53,-1.1645507812500003e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
48,1611472619046,26,-293,-6.43798828125e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
49,1611472619089,26,-518,-0.000113818359375,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
50,1611472619112,26,80,1.7578125e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
51,1611472619150,26,181,3.97705078125e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
52,1611472619161,26,1122,0.000246533203125,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
53,1611472619214,26,157,3.44970703125e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
54,1611472619228,26,341,7.492675781250003e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
55,1611472619279,26,67,1.4721679687500003e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
56,1611472619295,26,683,0.0001500732421875,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
57,1611472619319,26,-486,-0.000106787109375,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
58,1611472619329,26,-139,-3.0541992187500004e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
59,1611472619362,26,325,7.14111328125e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
60,1611472619379,26,-201,-4.41650390625e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
61,1611472619400,26,865,0.0001900634765625,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
62,1611472619413,26,460,0.00010107421875,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
63,1611472619434,26,249,5.47119140625e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
64,1611472619446,26,-225,-4.94384765625e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
65,1611472619462,26,-54,-1.1865234375e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
66,1611472619479,26,1488,0.000326953125,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
67,1611472619499,26,85,1.86767578125e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
68,1611472619513,26,370,8.1298828125e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
69,1611472619532,26,-598,-0.000131396484375,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
70,1611472619546,26,-5,-1.0986328125e-06,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
71,1611472619577,26,-1610,-0.000353759765625,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
72,1611472619596,26,-2002,-0.000439892578125,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
73,1611472619617,26,-1258,-0.000276416015625,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
74,1611472619630,26,-1211,-0.0002660888671875,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
75,1611472619700,26,-748,-0.00016435546875,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
76,1611472619737,26,-721,-0.0001584228515625,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
77,1611472619747,26,-455,-9.99755859375e-05,37,100,116,59458,83446,16747878,9942,22055,16765582,16753562,23860,Tag0,unknown
