timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1605701482285,200,-2048,-4.5E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482310,200,-982,-2.15771484375E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482344,200,874,1.9204101562500002E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482362,200,801,1.760009765625E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482379,200,504,1.107421875E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482396,200,642,1.4106445312500002E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482458,200,779,1.7116699218750001E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482479,200,-2048,-4.5E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482526,200,679,1.491943359375E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482546,200,823,1.808349609375E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482594,200,812,1.7841796875000003E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482612,200,-637,-1.399658203125E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482661,200,739,1.623779296875E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482679,200,680,1.494140625E-4,0,0,0,192346,89443,110118,53556,67804,109414,294120,144477,Tag0,unknown
1605701482728,200,870,1.91162109375E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701482746,200,663,1.456787109375E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701482796,200,807,1.7731933593750001E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701482815,200,788,1.7314453125E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701482864,200,-2048,-4.5E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701482882,200,680,1.494140625E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701483016,200,889,1.953369140625E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701483034,200,849,1.865478515625E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701483044,200,840,1.845703125E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701483054,200,-2048,-4.5E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701483064,200,835,1.834716796875E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
1605701483074,200,742,1.6303710937500001E-4,0,0,0,581750,160172,274094,153486,97745,109111,462297,94090,Tag0,unknown
