,timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
0,1611477761060,200,-711,-0.0001562255859375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
1,1611477761070,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
2,1611477761129,200,1138,0.000250048828125,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
3,1611477761139,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
4,1611477761194,200,-2041,-0.0004484619140625001,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
5,1611477761204,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
6,1611477761219,200,-2048,-0.00045,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
7,1611477761259,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
8,1611477761269,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
9,1611477761295,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
10,1611477761305,200,-2048,-0.00045,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
11,1611477761333,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
12,1611477761367,200,-1260,-0.00027685546875,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
13,1611477761386,200,849,0.0001865478515625,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
14,1611477761408,200,345,7.58056640625e-05,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
15,1611477761420,200,-2119,-0.0004656005859375001,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
16,1611477761442,200,-1986,-0.000436376953125,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
17,1611477761453,200,1496,0.0003287109375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
18,1611477761480,200,-2048,-0.00045,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
19,1611477761514,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
20,1611477761551,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
21,1611477761609,200,-2048,-0.00045,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
22,1611477761620,200,-2048,-0.00045,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
23,1611477761673,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
24,1611477761687,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
25,1611477761734,200,1803,0.0003961669921875,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
26,1611477761754,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
27,1611477761799,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
28,1611477761820,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
29,1611477761844,200,-2048,-0.00045,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
30,1611477761854,200,-2048,-0.00045,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
31,1611477761878,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
32,1611477761888,200,-2048,-0.00045,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
33,1611477761917,200,1791,0.0003935302734375,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
34,1611477761937,200,-2121,-0.0004660400390625,0,0,0,688994,16768627,9919,13948,31336,16746906,18733,18130,Tag0,unknown
35,1611477761970,200,-1097,-0.0002410400390625,0,0,0,105647,80211,3190,23839,16745848,84981,6476,23706,Tag0,unknown
36,1611477761987,200,-2048,-0.00045,0,0,0,105647,80211,3190,23839,16745848,84981,6476,23706,Tag0,unknown
37,1611477762038,200,42,9.228515625000003e-06,0,0,0,105647,80211,3190,23839,16745848,84981,6476,23706,Tag0,unknown
38,1611477762054,200,1791,0.0003935302734375,0,0,0,105647,80211,3190,23839,16745848,84981,6476,23706,Tag0,unknown
39,1611477762106,200,384,8.4375e-05,0,0,0,105647,80211,3190,23839,16745848,84981,6476,23706,Tag0,unknown
40,1611477762121,200,-1857,-0.0004080322265625,0,0,0,105647,80211,3190,23839,16745848,84981,6476,23706,Tag0,unknown
